order,filename,transcript
1,wav/eval_data/eng/lmspt-mimi/1188-133604-0031.wav,there's one and there's another the dudley and the flint
2,wav/eval_data/eng/dualcodec/260-123288-0011.wav,but if we have now ceased to advance why do we yet leave that sail loose which at the first shock of the tempest may capsize us in a moment
3,wav/eval_data/eng/cosy2/1188-133604-0031.wav,there's one and there's another the dudley and the flint
4,wav/eval_data/eng/mimi/8463-294828-0033.wav,i was well satisfied with my cabin which was located in the stern and opened into the officers mess
5,wav/eval_data/eng/cosy2/4446-2273-0024.wav,bartley started when hilda rang the little bell beside her dear me why did you do that
6,wav/eval_data/eng/lmspt-dc/4992-41797-0008.wav,mister popham exaggerated nothing but on the contrary left much unsaid in his narrative of the family at the house of lords
7,wav/eval_data/eng/lmspt-mimi/6930-76324-0025.wav,why it's goliath as usual they both cried peering in
8,wav/eval_data/eng/dualcodec/4970-29095-0027.wav,it's such a crush at the yearly meeting at arch street and then there's the row of sleek looking young men who line the curbstone and stare at us as we come out
9,wav/eval_data/eng/mimi/1320-122617-0000.wav,notwithstanding the high resolution of hawkeye he fully comprehended all the difficulties and danger he was about to incur
10,wav/eval_data/eng/lmspt-dc/8463-294828-0033.wav,i was well satisfied with my cabin which was located in the stern and opened into the officers mess
11,wav/eval_data/eng/lmspt-dc/908-157963-0025.wav,i see they lay helpless and naked weeping and none to answer none to cherish thee with mothers smiles
12,wav/eval_data/eng/cosy2/4970-29095-0027.wav,it's such a crush at the yearly meeting at arch street and then there's the row of sleek looking young men who line the curbstone and stare at us as we come out
13,wav/eval_data/eng/dualcodec/8463-294828-0033.wav,i was well satisfied with my cabin which was located in the stern and opened into the officers mess
14,wav/eval_data/eng/lmspt-mimi/4970-29095-0027.wav,it's such a crush at the yearly meeting at arch street and then there's the row of sleek looking young men who line the curbstone and stare at us as we come out
15,wav/eval_data/eng/cosy2/260-123288-0011.wav,but if we have now ceased to advance why do we yet leave that sail loose which at the first shock of the tempest may capsize us in a moment
16,wav/eval_data/eng/mimi/1188-133604-0031.wav,there's one and there's another the dudley and the flint
17,wav/eval_data/eng/dualcodec/4446-2273-0024.wav,bartley started when hilda rang the little bell beside her dear me why did you do that
18,wav/eval_data/eng/cosy2/6930-76324-0025.wav,why it's goliath as usual they both cried peering in
19,wav/eval_data/eng/dualcodec/1320-122617-0000.wav,notwithstanding the high resolution of hawkeye he fully comprehended all the difficulties and danger he was about to incur
20,wav/eval_data/eng/lmspt-dc/4446-2273-0024.wav,bartley started when hilda rang the little bell beside her dear me why did you do that
21,wav/eval_data/eng/lmspt-mimi/260-123288-0011.wav,but if we have now ceased to advance why do we yet leave that sail loose which at the first shock of the tempest may capsize us in a moment
22,wav/eval_data/eng/dualcodec/908-157963-0025.wav,i see they lay helpless and naked weeping and none to answer none to cherish thee with mothers smiles
23,wav/eval_data/eng/lmspt-dc/1320-122617-0000.wav,notwithstanding the high resolution of hawkeye he fully comprehended all the difficulties and danger he was about to incur
24,wav/eval_data/eng/dualcodec/1188-133604-0031.wav,there's one and there's another the dudley and the flint
25,wav/eval_data/eng/mimi/908-157963-0025.wav,i see they lay helpless and naked weeping and none to answer none to cherish thee with mothers smiles
26,wav/eval_data/eng/lmspt-mimi/4992-41797-0008.wav,mister popham exaggerated nothing but on the contrary left much unsaid in his narrative of the family at the house of lords
27,wav/eval_data/eng/dualcodec/7127-75947-0015.wav,there cannot be a doubt he received you kindly for in fact you returned without his permission
28,wav/eval_data/eng/lmspt-dc/1188-133604-0031.wav,there's one and there's another the dudley and the flint
29,wav/eval_data/eng/cosy2/7127-75947-0015.wav,there cannot be a doubt he received you kindly for in fact you returned without his permission
30,wav/eval_data/eng/mimi/4446-2273-0024.wav,bartley started when hilda rang the little bell beside her dear me why did you do that
31,wav/eval_data/eng/cosy2/1320-122617-0000.wav,notwithstanding the high resolution of hawkeye he fully comprehended all the difficulties and danger he was about to incur
32,wav/eval_data/eng/lmspt-mimi/7127-75947-0015.wav,there cannot be a doubt he received you kindly for in fact you returned without his permission
33,wav/eval_data/eng/mimi/4970-29095-0027.wav,it's such a crush at the yearly meeting at arch street and then there's the row of sleek looking young men who line the curbstone and stare at us as we come out
34,wav/eval_data/eng/mimi/7127-75947-0015.wav,there cannot be a doubt he received you kindly for in fact you returned without his permission
35,wav/eval_data/eng/cosy2/8463-294828-0033.wav,i was well satisfied with my cabin which was located in the stern and opened into the officers mess
36,wav/eval_data/eng/mimi/260-123288-0011.wav,but if we have now ceased to advance why do we yet leave that sail loose which at the first shock of the tempest may capsize us in a moment
37,wav/eval_data/eng/lmspt-dc/7127-75947-0015.wav,there cannot be a doubt he received you kindly for in fact you returned without his permission
38,wav/eval_data/eng/lmspt-mimi/4446-2273-0024.wav,bartley started when hilda rang the little bell beside her dear me why did you do that
39,wav/eval_data/eng/dualcodec/4992-41797-0008.wav,mister popham exaggerated nothing but on the contrary left much unsaid in his narrative of the family at the house of lords
40,wav/eval_data/eng/cosy2/908-157963-0025.wav,i see they lay helpless and naked weeping and none to answer none to cherish thee with mothers smiles
41,wav/eval_data/eng/mimi/4992-41797-0008.wav,mister popham exaggerated nothing but on the contrary left much unsaid in his narrative of the family at the house of lords
42,wav/eval_data/eng/lmspt-mimi/8463-294828-0033.wav,i was well satisfied with my cabin which was located in the stern and opened into the officers mess
43,wav/eval_data/eng/lmspt-dc/4970-29095-0027.wav,it's such a crush at the yearly meeting at arch street and then there's the row of sleek looking young men who line the curbstone and stare at us as we come out
44,wav/eval_data/eng/cosy2/4992-41797-0008.wav,mister popham exaggerated nothing but on the contrary left much unsaid in his narrative of the family at the house of lords
45,wav/eval_data/eng/mimi/6930-76324-0025.wav,why it's goliath as usual they both cried peering in
46,wav/eval_data/eng/lmspt-mimi/1320-122617-0000.wav,notwithstanding the high resolution of hawkeye he fully comprehended all the difficulties and danger he was about to incur
47,wav/eval_data/eng/lmspt-dc/6930-76324-0025.wav,why it's goliath as usual they both cried peering in
48,wav/eval_data/eng/lmspt-mimi/908-157963-0025.wav,i see they lay helpless and naked weeping and none to answer none to cherish thee with mothers smiles
49,wav/eval_data/eng/dualcodec/6930-76324-0025.wav,why it's goliath as usual they both cried peering in
50,wav/eval_data/eng/lmspt-dc/260-123288-0011.wav,but if we have now ceased to advance why do we yet leave that sail loose which at the first shock of the tempest may capsize us in a moment
